C:\Agilent\ICPMH\1\DATA\12sep12 tune_2.b\PGB07_T.d,,,,,,,,,,,,,
Intensity Vs Time,Counts,,,,,,,,,,,,
Acquired      : 9/12/2012 5:49:24 PM using Batch 12sep12 tune_2.b,,,,,,,,,,,,,
Time [Sec],Li7,B11,Mg24,P31,S34,K39,Ca43,Mn55,Cu63,Zn66,Sr88,Ba138,Pb208
0.36,9,23,0,76.02,19882.65,1953.24,0,156.02,5,9,0,1,0
0.71,4,12,2,40,19873.68,1980.56,3,170.02,1,7,0,0,0
1.06,2,11,0,51.01,19489.53,1941.1,0,180.02,3,13,0,0,2
1.41,4,15,2,59.01,19752.63,1872.33,0,198.03,4,12,0,0,0
1.76,1,12,1,62.01,20447.52,2091.89,1,175.02,1,7,2,0,0
2.11,3,21,4,62.01,20367.68,2097.96,2,211.03,1,14,0,0,1
2.46,10,17,1,59.01,19809.79,1962.35,0,184.03,1,6,0,0,2
2.81,11,11,1,65.01,20072.24,1985.62,0,192.03,1,8,0,0,0
3.16,0,15,1,51.01,20142.96,2119.23,0,184.03,1,8,0,0,3
3.51,2,12,0,47.01,19915.17,1987.64,0,175.02,0,2,0,0,0
3.86,1,28,2,51.01,20104.79,2022.04,2,191.03,3,6,1,0,1
4.21,5,23,0,44.01,20093.57,1932,0,151.02,1,11,0,0,0
4.56,5,26,2,51.01,20247.42,2131.38,2,181.02,1,8,0,0,0
4.91,3,11,0,43.01,19666.38,1983.59,3,200.03,0,6,0,0,0
5.26,2,16,2,45.01,19633.91,1921.88,0,191.03,2,8,1,0,0
5.61,8,15,6,53.01,19529.81,1966.39,0,197.03,2,10,2,0,0
5.96,4,20,1,57.01,19776.17,1912.78,0,191.03,3,13,0,0,1
6.31,0,9,0,45.01,20465.52,1899.63,1,182.02,2,11,0,0,2
6.66,2,28,2,46.01,19894.99,2060.51,0,182.02,3,14,0,0,0
7.01,3,10,0,56.01,19278.21,1994.72,2,196.03,0,7,0,0,1
7.36,5,12,1,42.01,19680.94,1926.94,1,176.02,3,19,0,0,1
7.711,3,16,2,53.01,19961.15,2000.79,1,187.03,1,10,0,0,3
8.061,2,16,2,42.01,19827.72,1960.32,0,160.02,1,10,0,0,2
8.411,1,10,0,47.01,19980.22,1957.29,3,204.03,0,14,0,0,0
8.761,0,13,0,49.01,19975.74,2036.21,0,204.03,0,10,1,0,1
9.111,2,16,2,54.01,20235.06,2015.97,2,184.03,1,7,0,0,1
9.461,3,13,3,51.01,19654.06,2042.29,4,191.03,2,17,0,0,0
9.811,1,18,2,31,20497.02,1971.45,0,208.03,0,26,0,0,0
10.161,3,11,1,54.01,19831.08,1983.59,1,169.02,0,11,0,0,1
10.511,2,16,0,48.01,19767.2,1980.56,0,204.03,2,10,0,0,0
10.861,7,7,0,49.01,19647.35,2168.85,3,165.02,2,9,0,0,3
11.211,3,8,3,61.01,19385.52,1908.74,2,182.02,0,9,0,0,1
11.561,6,17,0,45.01,19595.84,1930.99,0,180.02,0,10,0,0,0
11.911,1,7,0,39,19692.14,1901.66,1,170.02,3,16,0,0,0
12.261,9,11,0,55.01,19888.26,1983.59,0,182.02,1,8,0,0,0
12.611,1,14,3,45.01,19666.38,1994.72,0,193.03,2,15,0,0,0
12.961,4,12,5,50.01,19901.71,1952.23,0,154.02,2,14,0,0,0
13.311,1,21,2,69.01,19921.9,1958.3,0,196.03,2,11,1,0,0
13.661,2,18,1,79.02,20045.31,1920.87,1,185.03,0,13,0,0,1
14.011,1,15,0,74.02,19836.69,1972.46,1,155.02,0,6,0,0,5
14.361,1,22,0,48.01,19472.75,1919.86,2,200.03,1,8,0,0,0
14.711,3,23,2,64.01,19836.69,2039.25,0,189.03,1,4,1,0,1
15.061,6,8,2,48.01,19742.55,1980.56,0,195.03,0,9,0,0,0
15.411,2,18,0,49.01,19923.02,1876.38,1,189.03,1,7,0,0,2
15.761,0,16,0,44.01,19771.68,2088.85,0,173.02,2,13,0,0,0
16.112,3,20,2,60.01,19776.17,2067.59,0,196.03,0,6,0,0,2
16.462,5,11,3,33,19756,1906.71,2,183.02,2,13,0,0,0
16.812,2,12,0,73.02,19492.89,1956.28,1,162.02,0,9,0,0,2
17.162,4,14,1,48.01,20239.56,2013.95,0,168.02,0,15,0,0,0
17.512,3,17,0,41,20050.92,2022.04,0,180.02,1,12,0,0,0
17.862,1,9,0,50.01,20117.14,2004.84,0,181.02,0,4,0,0,0
18.212,2,10,0,42.01,20094.69,2056.46,3,183.02,0,11,0,0,0
18.562,0,20,3,55.01,19655.18,1929.98,1,175.02,1,10,1,0,0
18.912,3,15,2,54.01,19809.79,1929.98,0,184.03,1,12,0,0,0
19.262,4,11,0,59.01,20053.16,2057.47,1,195.03,1,9,1,0,0
19.612,3,14,1,53.01,19407.88,1882.44,0,185.03,0,7,0,0,0
19.962,3,21,0,47.01,19723.51,1938.07,0,168.02,3,7,0,0,2
20.312,9,12,1,50.01,20058.77,2059.49,2,156.02,0,3,0,0,0
20.662,3,18,0,45.01,20085.71,1970.44,0,192.03,2,13,0,0,0
21.012,2,15,0,60.01,20185.64,1941.1,0,161.02,1,11,0,0,4
21.362,1,17,1,47.01,20003.79,1872.33,1,181.02,1,11,0,0,1
21.712,3,11,0,86.02,19591.37,1986.63,2,191.03,1,11,0,0,0
22.062,6,13,1,39,19795.21,1947.17,2,199.03,2,9,0,0,2
22.412,3,20,2,62.01,19773.92,1942.11,0,197.03,0,15,0,0,0
22.762,3,13,0,40,20084.59,1905.7,1,177.02,2,9,0,0,0
23.112,2,24,4,40,20023.98,2011.92,0,165.02,2,12,0,0,0
23.462,4,13,1,43.01,19650.71,1922.9,4,171.02,0,5,0,0,0
23.812,7,9,3,38,19566.74,2010.91,4,177.02,0,4,0,0,0
24.162,9,15,0,52.01,19668.62,1988.65,1,171.02,0,11,0,0,1
24.513,7,17,2,68.01,19781.77,1867.28,0,187.03,2,11,0,0,0
24.863,6,17,1,50.01,20322.72,2076.7,2,193.03,0,16,0,0,2
25.213,4,10,1,48.01,19883.78,1882.44,0,168.02,3,17,0,0,2
25.563,0,20,0,38,20147.46,1943.13,0,191.03,2,10,0,0,0
25.913,3,17,1,56.01,20055.4,2066.58,1,182.02,0,7,0,0,0
26.263,3,20,0,53.01,19580.18,1984.6,0,206.03,0,13,0,0,2
26.613,0,16,0,60.01,19836.69,1918.85,1,158.02,0,4,0,0,1
26.963,5,16,0,63.01,19768.32,1948.18,0,183.02,2,10,0,0,1
27.313,4,15,1,57.01,19434.72,2001.81,0,184.03,0,13,1,0,0
27.663,5,17,3,60.01,19747.03,2023.06,0,205.03,1,11,0,0,1
28.013,6,16,1,41,19956.67,1954.25,0,168.02,2,4,0,0,3
28.363,4,19,1,53.01,19556.67,1947.17,0,191.03,2,10,0,0,0
28.713,4,9,2,59.01,19732.47,1958.3,1,170.02,2,13,0,0,1
29.063,7,12,1,43.01,19331.85,1994.72,1,181.02,2,10,0,0,1
29.413,5,16,0,33,19541,1989.66,0,184.03,1,8,0,0,2
29.763,4,21,3,62.01,19909.56,2001.81,0,208.03,1,8,0,0,4
30.113,4,9,2,48.01,19682.06,1840.99,0,161.02,1,8,0,0,2
30.463,0,14,3,49.01,20223.83,2047.35,2,195.03,2,6,0,0,1
30.813,0,17,0,55.01,20016.13,1962.35,0,180.02,0,12,0,0,0
31.163,0,16,0,48.01,19945.45,2061.52,0,185.03,0,18,0,0,9
31.513,3,19,61.01,123.04,20318.22,2836.65,1608.64,232.04,16,333.08,23973.67,34,165.02
31.863,15,76,289.25,331.32,21931.61,5417.6,6804.57,357.09,33,868.56,49682.8,78.01,157.02
32.213,16,87.01,482.69,390.45,23394.88,6711.9,16947.89,411.13,23,600.27,69791.54,104.02,122.01
32.563,16,96.01,585.01,403.48,23852.81,7427.99,13001.6,458.16,17,500.19,77506.23,107.02,75
32.913,23,130.01,690.41,414.51,23934.21,7879.81,13438.98,486.18,22,461.16,87534.3,113.02,65
33.264,19,110.01,748.65,428.54,24759.49,8024.39,13361.14,469.16,23,380.11,83016.13,91.01,53
33.614,20,121.01,653.26,442.58,24577.56,7626.56,12733.24,497.18,21,255.05,82467.4,116.02,31
33.964,32,173.02,696.43,423.53,24638.56,8411.58,13861.18,555.23,19,243.04,89503.27,100.02,28
34.314,17,96.01,725.55,381.43,24516.57,8249.88,12615.9,470.16,18,218.04,82960.4,102.02,40
34.664,18,125.01,639.21,413.51,24911.62,8516.66,13419.52,551.23,25,261.05,87199.09,94.01,34
35.014,10,100.01,635.19,427.54,24283.18,8056.88,13343.85,506.19,19,207.03,81556.23,87.01,29
35.364,25,103.01,677.35,394.46,24253.31,7899.7,13356.82,498.18,26,187.03,87363.66,107.02,27
35.714,24,98.01,682.37,457.62,24231.48,8492.48,13883.95,637.3,21,204.03,88916.33,122.02,28
36.064,18,138.01,702.46,536.85,24597.13,8906.01,13888.28,617.28,21,268.05,143846.14,107.02,34
36.414,21,125.01,741.62,506.76,24604.03,8120.84,13462.77,514.2,17,239.04,84022.13,94.01,30
36.764,33,166.02,799.89,559.93,24632.81,8473.57,14803.44,552.23,24,238.04,99213.63,117.02,29
37.114,20,173.02,863.2,602.07,24992.35,9052.5,14830.68,577.25,15,167.02,95252.65,102.02,25
37.464,24,142.01,749.66,601.07,24586.77,8418.93,14182.31,573.24,17,186.03,91402.49,77.01,19
37.814,22,168.02,798.88,549.89,24948.52,8956.58,15053.16,564.24,23,258.05,100680.21,111.02,48
38.164,28,220.04,941.62,687.4,25346.82,9425.1,19437.14,624.29,25,277.06,126469.22,111.02,45
38.514,34,187.03,780.8,1271.77,24575.26,8591.3,13962.01,576.25,28,331.08,112433.56,115.02,49
38.864,20,297.07,880.29,726.56,25352.6,9605.88,16088.52,614.28,21,323.08,107159.59,163.04,55
39.214,27,188.03,854.15,721.54,25294.82,11605.9,15910.78,558.23,12,238.04,106231.63,110.02,44
39.564,24,172.02,862.19,676.35,24333.74,9953.17,15308.7,698.36,36,277.06,108595.2,100.02,50
39.914,49,225.04,1021.07,716.52,25357.22,9839.8,16660.23,610.28,33,285.06,115396.75,128.02,51
40.264,32,218.04,950.67,689.4,25188.55,9701.1,15995.24,708.37,32,290.06,106117.06,108.02,57
40.614,22,206.03,807.93,723.55,24465.96,9202.29,17623.13,700.36,34,302.07,113608.87,98.01,43
40.964,28,214.03,857.17,832.04,25471.69,10626.42,16022.67,572.24,40,198.03,106311.1,112.02,23
41.314,29,200.03,912.46,732.59,24495.87,9910.78,15829.66,650.31,29,189.03,106212.61,97.01,33
41.665,31,194.03,978.83,789.84,25660.3,9865.22,16150,579.25,33,210.03,106833.93,84.01,33
42.015,31,208.03,812.95,651.25,24615.54,9146.37,14722.81,592.26,23,206.03,104122.29,115.02,29
42.365,30,233.04,901.4,662.3,25101.96,10013.59,16077.54,628.29,40,192.03,109508.33,117.02,21
42.715,21,187.03,930.55,712.5,24499.32,9467.37,15424.58,611.28,23,151.02,97777.84,100.02,24
43.065,28,166.02,842.09,648.24,25211.65,9618.57,22700.56,683.35,28,123.01,103565.71,67.01,26
43.415,24,186.03,829.03,597.05,25035.03,9352.21,15848.29,600.27,27,124.01,103743.05,119.02,25
43.765,25,194.03,817.97,656.27,24779.07,10344.7,16312.59,600.27,23,145.02,101835.7,89.01,21
44.115,24,240.04,901.4,649.25,25030.42,9669.36,15936.01,569.24,34,164.02,106448.7,106.02,37
44.465,34,237.04,868.22,612.11,25232.44,9710.63,15846.1,604.27,27,155.02,101657.46,102.02,25
